alcohol,chlorides,citric_acid,density,fixed_acidity,free_sulfur_dioxide,ph,quality,residual_sugar,sulphates,total_sulfur_dioxide,volatile_acidity
13.6,0.12852000000000002,0.23,1.0005551271191593,11.9,58.6,2.77,5,7.3,1.53,79.4,1.5
10.2,0.08208,0.56,0.9998624063146426,7.6,50.8,3.34,5,7.2,1.29,276.8,0.9
13.9,0.09612000000000001,0.64,0.9942064248650807,8.9,10.8,3.77,6,10.5,0.43,55.5,1.11
11.9,0.10260000000000001,0.79,0.9923758875451212,9.5,46.6,3.66,7,11.6,1.93,29.9,1.51
8.7,0.10584000000000002,0.75,1.0005311353354365,9.8,68.8,3.76,6,11.7,1.62,175,0.9
9.2,0.10475999999999999,0.39,0.9937517345432553,9.7,10.8,3.93,6,7.5,0.34,205.5,1.13
13.3,0.12744000000000003,0.07,0.9901929355618628,11.8,19.7,3,6,6.8,1.21,67.5,0.75
8.9,0.11016,0.48,0.9911130579854341,10.2,27.1,3.26,5,13.8,1,133.8,0.59
13.5,0.15660000000000002,0.06,0.9904108593437625,14.5,4.6,3.96,6,9.5,0.95,165.2,1.06
10,0.10044000000000002,0.87,1.0023391498874523,9.3,31.8,3.59,5,4,0.54,285.2,0.92
10.4,0.15660000000000002,0.05,0.9934784649904479,14.5,41,2.94,6,13.2,1.96,229.1,1.11
11.7,0.17064000000000001,0.33,0.9940475933475901,15.8,62.5,3.56,5,8.5,0.57,235,0.39
14.8,0.09072000000000001,0.78,0.9953618439041385,8.4,68.7,2.94,6,11.1,1.23,148.8,0.55
10.2,0.05292000000000001,0.44,0.9920840474310075,4.9,46.7,3.99,5,6.4,0.39,206.8,0.47
11.9,0.09828,0.55,0.9989297952707922,9.1,63.6,3.9,6,7.7,1.84,51.9,1.26
12.9,0.10260000000000001,0.68,0.9930176432731134,9.5,7.6,3.71,5,10.7,1.68,130.4,0.72
8.9,0.10368000000000001,0.56,0.9970991247758598,9.6,6.3,3.98,5,3.8,0.51,101.2,0.62
9.6,0.09936,0.45,0.9909149440873949,9.2,22.3,2.96,5,5.3,1.38,122.5,0.37
12.7,0.10368000000000001,0.76,0.9923414122625813,9.6,20.8,2.81,6,13.1,1.91,89.1,0.5
9.1,0.10908,0.5,0.9982630996528449,10.1,53.5,3.99,6,6,1.25,10.2,1.08
13.4,0.0918,0.66,0.9994358404773597,8.5,4.1,3.68,6,3.4,0.45,62.9,0.94
9,0.15984,0.14,0.991699866866927,14.8,54.1,3.04,4,9.3,1.44,109.1,1.31
12.2,0.04968,0.98,0.9926457930059278,4.6,20.6,3.41,5,6.1,0.98,50.8,0.62
13.4,0.08424000000000001,0.02,0.9914816607172058,7.8,70.7,2.9,6,9.1,1.08,259.4,0.9
9.8,0.17064000000000001,0.71,0.9988721890003274,15.8,26.6,3.67,6,12.4,0.64,145.3,1.01
10.4,0.13608,0.93,0.9953079551801042,12.6,56.4,3.84,5,10.8,1.38,137.2,1.17
13.5,0.14472000000000002,0.51,0.994600260760598,13.4,41.6,3.74,6,1.9,1.09,285.5,0.32
14.8,0.15444000000000002,0.2,0.9992705342545047,14.3,32.2,3.25,6,5.6,0.8,21.5,1.44
14.2,0.06912,0.77,1.0000602112334018,6.4,10.4,3.43,6,4.6,0.46,246.4,1.13
8.8,0.06912,0.93,0.9904005416156563,6.4,54.8,3.37,6,11.1,1.32,22.9,1.13
10,0.08424000000000001,0.62,1.0017122742467772,7.8,59,3.96,3,1.8,1.17,140.1,1.49
11,0.06048,0.04,0.9946493715956803,5.6,63.7,3.5,5,15.4,0.48,131,1.12
11.6,0.1134,0.53,0.9903208400189087,10.5,31.7,2.85,6,2.1,0.84,45.6,0.18
11.4,0.05616,0.5,0.9936543021207994,5.2,56.1,3.47,5,7.7,1.3,94.5,0.4
14.7,0.06696,0.73,1.0026337152316163,6.2,14.5,3.77,6,4.8,0.61,158.3,1.46
11.3,0.16632000000000002,0.41,1.002891653259982,15.4,64.7,3.09,5,14.8,0.83,106.3,0.72
9.9,0.15876,0.35,1.0007949930967823,14.7,45.7,3.73,7,12.3,0.51,278,1.23
8.8,0.1512,0.5,0.9969191427259227,14,58.3,3.5,6,13.9,0.94,121.8,0.65
13.6,0.11124000000000002,0.86,0.9903754699055317,10.3,35.4,3.91,6,1.9,0.58,130.7,0.89
8.5,0.11664000000000001,0.91,0.9919590035323874,10.8,24.8,3.95,7,1.6,0.57,80.6,1.51
10.8,0.1296,0.44,0.9910118503396032,12,37.5,3.77,5,7,1.82,154.3,0.79
14.6,0.11448,0.66,1.0030123288937507,10.6,1.6,2.95,7,10.3,1.55,25.7,0.43
13.9,0.06912,0.26,0.9971178242480513,6.4,35.1,3.1,6,14.2,1.49,56.1,0.4
12.6,0.16524000000000003,0.01,1.0010034491179691,15.3,20.5,3.89,5,3.2,1.09,281.1,1.16
9.1,0.0756,0.67,0.9955903631557279,7,23.2,3.44,5,12.6,1.6,246.1,1.22
10.9,0.08964000000000001,0.46,0.9911614591194274,8.3,49.8,3.91,5,10.8,1.84,31.2,1.18
12.1,0.15984,0.27,0.9945072153509802,14.8,55.4,3.15,6,1.6,0.5,198.5,0.72
13,0.10584000000000002,0.36,0.9989076754211514,9.8,52.8,3.22,5,6.9,1.78,183.9,0.61
12.8,0.11448,0.84,0.995974006213512,10.6,41.1,3.61,6,5.5,1.97,262.2,0.98
9.8,0.07884000000000001,0.63,0.9936780372034991,7.3,51.1,2.95,7,10.7,0.84,196.9,0.52
10.8,0.14796,0.31,0.9916898731932291,13.7,61.5,3.27,5,6.2,0.99,37.8,0.97
11.3,0.0756,0.62,0.9909643711364324,7,59.5,3.39,6,1.3,1.65,206.5,0.88
11.2,0.12528,0.9,1.003052707013717,11.6,57.4,3.84,7,13.2,1.66,242.8,1.3
14.1,0.08532000000000001,0.02,0.995948363655477,7.9,45.5,3.22,6,12.1,1.62,23.3,0.26
10.6,0.0756,0.67,0.9903767983521068,7,31.6,3.56,5,5.3,0.85,95,1.01
10.9,0.12744000000000003,0.4,0.9971373069659146,11.8,53.2,3.7,5,11.6,1.21,137.4,0.16
13.4,0.09612000000000001,0.23,0.993818477872683,8.9,24.3,3.35,5,7.8,0.34,105.6,1.03
14.8,0.14472000000000002,0.94,0.9916496050286995,13.4,50,3.47,6,12.7,0.93,125.7,1.37
12,0.16956,0.58,0.9985895084620205,15.7,38.1,3.01,6,11.5,1.26,196.7,0.83
14.5,0.15768000000000001,0.58,0.9935018246464117,14.6,58.8,3.03,5,5.3,1.7,277.1,0.7
14.8,0.11556,0.44,1.0006797531457927,10.7,57.2,3.04,6,8.6,1.56,258.8,1.51
12,0.17172,0.23,0.9973239208801898,15.9,58,3.28,5,10.1,0.77,70.1,0.56
10.7,0.08748,0.25,0.9908852954026025,8.1,41.5,2.96,4,3.7,1.01,272.2,0.45
14.2,0.07452,0.72,1.0003121908334818,6.9,70.6,3.82,5,9,1.42,241.8,0.23
14.8,0.16848000000000002,0.17,0.9926518431859763,15.6,40.2,3.39,5,4,1.57,23.1,0.34
13.1,0.05508,0.35,0.9997049402952215,5.1,63.7,2.9,7,10.7,1.44,92.4,0.66
14.5,0.07452,0.37,0.9914805218485075,6.9,64.6,2.88,6,12.7,0.78,123.6,0.78
10.9,0.10152000000000001,0.64,0.9926518003603858,9.4,70,3.27,5,4.5,1.39,176,0.93
10.3,0.0756,0.68,0.9983286602815253,7,24,3.63,5,8,1.29,261.1,0.15
14.8,0.17064000000000001,0.16,0.9996784791960969,15.8,10.6,3.49,6,2.6,0.83,17.3,0.72
9.7,0.14364000000000002,0.66,0.9938533579822634,13.3,53.1,3.77,6,2.9,1.29,268.1,0.53
12.6,0.06696,0.47,0.9912006128946123,6.2,6.3,3.41,5,15,1.17,191.6,1.24
10.7,0.10368000000000001,0.39,1.0020020014826185,9.6,19.5,3.29,6,10,1.73,49,0.64
10.2,0.058320000000000004,0.37,1.0012466883199866,5.4,30.2,3.65,6,4.9,0.4,260.9,0.91
11.8,0.0918,0.53,0.9911560233858007,8.5,64.9,2.83,5,6.7,1.25,68.7,1.16
11,0.1404,0.4,0.9957167509075961,13,32.5,3.57,5,13,1.09,154.4,0.44
11.3,0.06696,0.41,1.0034242510021942,6.2,59.1,2.97,5,9.8,1.55,38.1,1.56
13.4,0.05508,0.64,1.001337875427356,5.1,7.8,3.36,7,12.5,1.28,38,0.87
8.8,0.12852000000000002,0.7,1.002476814959432,11.9,50.2,3.93,5,15.3,1.5,210.9,1.44
13.9,0.0864,0.48,0.9925497539653247,8,38.2,3.54,5,13.5,1.92,70.7,0.3
8.6,0.14256,0.69,0.9906122654689871,13.2,65.2,3.48,5,1.4,0.92,189.9,0.35
13.2,0.10692000000000002,0.44,1.0007751064701593,9.9,56.7,2.99,6,12.3,0.63,110.1,0.43
11.2,0.11988,0.63,0.9994940652508282,11.1,55.1,3.54,6,12.3,1.29,24.2,1.33
9.3,0.1512,0.04,0.9989346364322697,14,71.4,3.51,5,3.8,1.69,81.4,0.91
10.6,0.10044000000000002,0.79,0.99282707010727,9.3,69.8,3.8,6,5.4,1.22,97.2,1.16
9.3,0.15660000000000002,0.13,0.9964722883599565,14.5,63.9,3.01,6,5.8,1.03,144.8,0.56
12.9,0.11556,0.01,0.9927761610803468,10.7,20.3,3.08,5,12,0.87,284.9,1.01
12.5,0.14904,0.64,0.9915788281131392,13.8,46.9,2.79,5,8.1,0.88,147.3,0.2
9.1,0.08532000000000001,0.1,1.0031079884850354,7.9,43.4,2.77,6,7.6,0.95,170.8,0.13
9.6,0.10800000000000001,0.92,0.9978681601013433,10,51,3.09,3,7.6,0.7,87.8,1.51
10.9,0.15660000000000002,0.28,0.9994889466252141,14.5,42.4,3.71,5,6.7,1.8,264.1,0.95
14.5,0.15444000000000002,0.52,0.993437974949048,14.3,5.7,3.58,5,5.7,1.91,20.1,1.05
12.3,0.15876,0.51,0.9943520972177712,14.7,64,2.94,6,15.2,1.93,50.9,0.55
13.2,0.13068,0.67,0.9905336338102284,12.1,3.1,3.33,6,13.8,1.97,230.4,1.01
9.1,0.17064000000000001,0.55,0.9942411435302615,15.8,17.5,3.06,6,10.9,1.72,263.7,0.64
12.8,0.13608,0.11,0.9972552297464712,12.6,53.3,3.45,5,7.1,1.98,107,1.5
10.8,0.1296,0.14,0.9990430424908624,12,8.3,3.38,7,13.2,1.43,144.2,0.22
11.8,0.12096,0.21,1.0032601410347128,11.2,43,2.91,6,13,1.73,51.8,0.47
8.7,0.14796,0.06,0.9982053117712562,13.7,37.7,3.34,7,12.8,1.44,145.5,0.59
12.7,0.10475999999999999,0.94,0.9938137491947122,9.7,52.9,3.44,4,14.4,0.46,44.1,0.22
10.2,0.1188,0.88,0.9987864518257854,11,71.4,3.38,6,6.9,1.79,275.4,0.12
10.3,0.1458,0.56,0.9956977560467448,13.5,58.1,2.92,6,8,1.5,72.5,1.07
13.7,0.05292000000000001,0.54,0.9999869212914296,4.9,64.7,3.18,6,8.6,1.85,117.7,1.5
9.1,0.06372000000000001,0.06,0.9988766294942566,5.9,10,3.36,6,14,0.89,265.3,0.62
14.7,0.16416,0.57,1.0035997484589239,15.2,70.3,3.72,6,10.3,0.54,210.5,0.89
13,0.07128,0.95,1.0024078383794377,6.6,65.8,3.21,6,14.7,0.57,286,0.62
12.2,0.11772,0.84,0.9991213952666751,10.9,37.4,3.78,7,5.8,0.4,213.5,1.11
10.1,0.15768000000000001,0.45,0.9991578418674794,14.6,27.6,3.36,6,14.8,0.64,255.7,1.12
14,0.10152000000000001,0.81,0.9953998163143275,9.4,37,2.94,5,3,1.33,159.3,1.56
11.8,0.09288,0.65,0.995885138534182,8.6,70.4,3.12,7,6.4,1.68,214.7,0.16
14,0.07344,0.39,0.997038330041931,6.8,38.9,2.93,6,12.3,1.56,14.4,0.14
9.2,0.11772,0.06,0.9978835503305172,10.9,29.8,3.24,6,5.5,0.67,182.9,1.56
14.5,0.10692000000000002,0.31,0.9940882210600245,9.9,69,3.91,6,6.7,1.99,188.1,1.23
9.9,0.09072000000000001,0.64,0.9950118716882852,8.4,57.2,2.83,7,1.9,0.91,143.6,0.7
10.9,0.054000000000000006,0.27,0.9987875305681373,5,21.1,3.32,5,15.2,0.78,288.8,0.39
11.9,0.08532000000000001,0.2,1.0015224726768068,7.9,32.5,3.18,5,5.5,1.95,94.5,0.17
10.4,0.06264,0.49,0.994559723300627,5.8,11.1,3.46,6,12.8,1.61,113.1,0.24
11.1,0.06804,0.57,0.9923067860426827,6.3,47.8,3.08,6,1.1,1.74,75.3,0.16
13.1,0.11772,0.76,0.9928874158605779,10.9,57.7,3.44,6,9,1.8,73.4,0.51
14.3,0.08964000000000001,0.58,1.0035996117309987,8.3,56.9,3.58,5,7,1.12,217.5,0.62
10.4,0.050760000000000007,0.68,0.9929193548581742,4.7,22.4,3.47,7,7.4,1.47,153.4,0.14
8.7,0.13932,0.97,0.9967378025373781,12.9,68.4,3.76,6,12.9,1.73,147.7,0.79
10.3,0.12204000000000001,0.29,0.9916920495462169,11.3,55.4,3.43,6,4,1.95,182.1,0.99
10.7,0.10152000000000001,0.32,0.9933915303072427,9.4,36.4,3.65,7,3.3,1.98,276.4,0.58
11.4,0.06048,0.46,1.0006516525054352,5.6,26.8,3.42,5,2.7,0.52,10.7,0.66
11.6,0.05292000000000001,0.46,0.9938046534655071,4.9,8.7,3.93,6,11.9,1.87,176.3,0.99
14.5,0.11016,0.85,1.0036868604891276,10.2,27.4,3.62,5,7.9,1.21,286.7,0.98
10.8,0.15660000000000002,0.09,0.9936536239334062,14.5,39.3,2.93,5,2.2,1.26,266.4,1.31
13,0.13176,0.16,1.0013104621100608,12.2,33.1,3.21,7,7.5,1.96,77.2,1.57
13.3,0.10475999999999999,0.3,0.9918238640871369,9.7,51.5,3.04,6,14,0.66,221.1,1.46
9.6,0.1512,0.13,0.9994577580081955,14,44.8,2.82,7,12.9,1.36,204.4,0.39
12.1,0.11988,0.82,0.9921268422073121,11.1,53.9,3.46,6,11.5,1.06,62.2,1.31
14.2,0.06264,0.35,0.9973164735504382,5.8,25.3,3.84,5,5.4,1.48,136.7,0.4
10.4,0.13824,0.41,0.9919261683040543,12.8,9.3,2.95,6,12.6,1.58,254.1,0.15
13.5,0.09828,0.92,0.997091455576738,9.1,24.9,3.97,5,7.6,0.45,167.3,1.1
10.2,0.15984,0.32,0.9982365838785859,14.8,24.8,4.01,6,2.8,1.08,60.3,0.65
14.3,0.07452,0.28,1.0033508612281914,6.9,17.9,3.25,5,3.5,0.84,264.9,0.91
12.2,0.054000000000000006,0.52,0.9919335960739765,5,62.1,3.53,7,7.6,1.21,102.1,1.14
9.8,0.08748,0.29,0.9996817750807632,8.1,63.3,3.68,5,2.9,0.84,247.9,0.61
8.8,0.08424000000000001,0.49,1.0005221585933486,7.8,44.6,3.65,5,11.6,1.89,147.8,0.51
8.8,0.07776000000000001,0.83,0.9972467541988448,7.2,64.8,3.54,5,10.5,1.81,42.6,1.18
12.5,0.06912,0.02,1.0029086163447418,6.4,29.8,3.53,5,3,0.68,119.5,0.55
9.6,0.09396,0.83,0.9939245834873371,8.7,45.9,3.91,6,12.8,1.54,279.1,0.82
14.9,0.16632000000000002,0.04,1.0002382352777432,15.4,31.8,3.09,7,3.2,0.88,216.5,0.86
14.6,0.10692000000000002,0.62,1.0017676488629776,9.9,24.2,3.7,5,2.3,0.93,121.8,1.05
11,0.15336,0.07,0.9931001525789517,14.2,34.5,3.96,5,10.2,1.4,104,1.42
12.9,0.061560000000000004,0.97,0.9905741280900421,5.7,1.8,3.74,6,2.6,1.62,108.8,1.43
13.9,0.050760000000000007,0.74,0.9992482714968041,4.7,33.6,3.59,5,8.7,0.37,221.4,1.16
11.9,0.11016,0.38,1.0000245060663042,10.2,6.5,3.8,5,6.8,1.27,143.8,0.72
10.7,0.1512,0.68,0.9954985384014352,14,31.6,3.25,7,3,1.4,203.7,1.47
14.3,0.12096,0.12,1.0020260146211963,11.2,10.3,3.18,5,4,0.54,158.8,0.49
9.7,0.14472000000000002,0.24,0.9969715089998361,13.4,7.6,3.33,6,2.4,0.74,55.5,1.45
11.7,0.05508,0.89,0.9959417816383445,5.1,45.2,2.87,7,10.5,1.42,54.9,0.52
11.6,0.09936,0.71,0.9915947536999552,9.2,11.6,3.69,6,5.4,1.71,178.7,0.77
10.3,0.12096,0.58,0.9901451436961201,11.2,70.2,2.94,6,1.4,0.74,218.2,0.74
14.7,0.10584000000000002,0.2,1.0012275116603744,9.8,7,3.37,6,15.3,0.61,183.1,0.48
12.3,0.07452,0.78,0.9957425602808987,6.9,35,2.99,5,4.2,0.74,187,0.17
14.6,0.08856,0.07,0.9993199692249348,8.2,60.6,3.65,6,2.8,1.48,143,0.28
13.7,0.06696,0.92,0.993636748017806,6.2,55,3.55,6,10.7,0.6,204.1,0.9
11.5,0.13176,0.9,0.9917456880174772,12.2,22.6,3.8,6,13.9,0.75,63.9,1.21
10.2,0.10260000000000001,0.31,0.9919026521925536,9.5,65.7,2.74,4,5.8,1.26,286.3,0.62
12.4,0.11232,0.53,0.9994530781309434,10.4,9.9,3.19,6,13.5,0.51,240.4,0.3
12.1,0.13932,0.94,0.9931974914268119,12.9,27.8,3.05,5,4.6,1.76,51.4,1.11
9.6,0.1188,0.39,0.9903950877098348,11,28.9,2.82,6,12.2,1.85,240.6,0.2
14.1,0.15984,0.33,1.0011915484979985,14.8,55.9,3.76,5,8,1.01,177.7,0.36
13.4,0.07992,0.61,1.002782929055536,7.4,17.6,3.01,6,5.7,0.79,145.4,0.85
13.6,0.16416,0.67,0.993612365087943,15.2,37.9,3.75,6,10.2,1.52,128.7,0.53
10.4,0.07344,0.77,0.9928521543003773,6.8,70.7,3.17,5,11.7,1.6,221.7,0.59
10.1,0.11988,0.71,0.9997217918967862,11.1,47.2,3,5,2.7,1.39,37,0.37
9.3,0.15660000000000002,0.77,0.99722528772626,14.5,21.5,2.95,4,12.5,1.97,65.7,0.68
8.8,0.09504000000000001,0.18,0.992929563047467,8.8,68,3.67,5,9.9,1.34,188.3,1.36
14.4,0.06048,0.37,0.9958787249728114,5.6,33.5,3.32,6,6.6,1.87,24.6,1.53
9,0.10584000000000002,0.23,0.998885360066931,9.8,66.7,3.8,6,4.7,1.67,264.6,0.84
10.8,0.13284,0.89,0.9986925394344291,12.3,20.4,3.76,5,8.3,0.81,100.1,1.48
11,0.07884000000000001,0.45,0.9956683856190239,7.3,10.1,3.77,5,13.6,1.35,15.7,0.37
12.2,0.07992,0.3,1.0026672696440306,7.4,69.3,3.12,6,1.7,1.83,152,1.39
13.7,0.10260000000000001,0.9,0.9972734047183315,9.5,12.1,3.54,6,9,1.55,229,0.28
8.7,0.1296,0.33,0.9962278527519536,12,10.3,3.21,7,14.3,0.91,93.8,1.49
12.6,0.10152000000000001,0.1,0.998515106348924,9.4,21.8,3.81,6,4.3,1.01,241.7,0.41
9.1,0.06696,0.39,0.9985727844048813,6.2,43.2,4.01,6,1.7,0.47,48.9,1.49
11.6,0.06048,0.08,0.9934059974888325,5.6,16.4,3.79,6,2.8,1.94,24.5,1.33
11.9,0.12312000000000001,0.52,0.990168560156832,11.4,53.2,2.76,4,12.5,1.11,86.4,0.79
12.5,0.11556,0.53,0.9962101835301562,10.7,42.7,3.08,6,10.6,1.27,137.4,0.91
11.3,0.06588,0.88,0.9912986998623607,6.1,28.6,3.63,5,3.6,0.55,206.1,0.36
9.9,0.10475999999999999,0.11,1.0020392724102485,9.7,43.6,3.08,6,13,0.67,191.8,1.23
9.2,0.12204000000000001,0.37,0.9954163601441232,11.3,29.5,3.41,5,8,1.99,240.5,0.67
13.4,0.11124000000000002,0.39,0.991098981301687,10.3,4.2,3.86,7,1.6,1.17,81.7,0.76
11.8,0.07344,0.8,0.9909911913754613,6.8,9.5,3.35,6,10.2,1.86,52.1,0.99
12.4,0.10152000000000001,0.68,0.9938798432798501,9.4,39.5,2.9,6,10.8,0.41,212.9,1.35
12,0.1296,0.32,0.9998677038735739,12,31.6,2.78,5,7.4,0.89,40,1
8.9,0.11124000000000002,0.82,0.9920233859009892,10.3,31.2,3.93,6,14.6,1.06,223.2,1.12
9.9,0.12204000000000001,0.67,0.998917167235273,11.3,27.7,3.5,5,6.8,1.56,7.3,1.16
8.7,0.11016,0.52,0.9961323346874427,10.2,55.6,2.83,5,4.6,1.46,153.5,0.83
9.2,0.0918,0.88,0.9972164366854221,8.5,36.2,3.49,6,9.4,0.44,127.9,1.35
11.7,0.13392,0.46,1.0029494607589944,12.4,38.9,4.01,7,8.5,0.86,97.9,1.32
12.8,0.08424000000000001,0.46,0.9914961064996348,7.8,61.9,3.54,6,15.2,1.89,283.6,1.4
9.5,0.08856,0.9,0.9974989792425238,8.2,24.4,3.53,5,3.4,1.79,87.7,0.52
13.2,0.16740000000000002,0.74,0.9939147733491644,15.5,21.5,3.22,6,11.1,1.91,11.2,0.84
12.9,0.11448,0.58,1.0031570304176693,10.6,46.3,3.16,5,10.9,0.34,82.7,0.86
14.5,0.16524000000000003,0.67,0.9964051603171137,15.3,53.3,3.36,6,0.9,0.39,205.5,0.76
12.6,0.13392,0.6,0.9991959153337545,12.4,35.7,3.3,5,9.8,1.06,31.8,0.37
10.9,0.09936,0.49,0.9994076121236344,9.2,14.8,3.77,5,5.5,1.4,15.2,1.43
13.7,0.135,0.61,0.9972508553734567,12.5,36.5,3.3,6,5.3,1.15,243.3,0.44
13.5,0.051840000000000004,0.3,1.0024122149395873,4.8,55.4,2.84,6,8.7,1.5,110.3,0.45
11.3,0.16308,0.72,0.9981915807004164,15.1,46.2,3.95,5,11,0.85,118.7,0.88
10.9,0.14904,0.29,0.9918600327006575,13.8,15.9,3.26,5,13.1,1.76,185.3,0.66
13.5,0.09612000000000001,0.38,0.9956078786481175,8.9,47.6,2.91,5,13.9,0.59,12.5,0.85
9.2,0.12204000000000001,0.08,0.9994348804261456,11.3,71.3,3.07,6,9.4,1.84,137.1,1.27
8.9,0.11016,0.79,0.9919950958369445,10.2,25.4,3.35,5,7.4,1.17,266.7,1.13
10.3,0.11124000000000002,0.84,0.9914355814945737,10.3,19.5,3.49,6,15.5,1.4,285.5,0.49
11.5,0.14364000000000002,0.81,0.9956894155166786,13.3,48.9,3.76,4,4.9,1.97,112.3,0.47
9.6,0.11124000000000002,0.94,0.9949829664128491,10.3,8.6,3.89,7,7.8,1.85,89.5,1.31
13.5,0.15768000000000001,0.44,0.9955039111910752,14.6,32.6,2.95,5,3.7,1.77,234,0.86
10.8,0.13392,0.85,0.992883422207056,12.4,17.7,3.03,6,10.8,0.5,32.7,0.44
11.2,0.08424000000000001,0.89,1.0021999520824862,7.8,50.4,3.95,5,4.2,1.93,102.3,1.38
14.4,0.15876,0.29,0.9965188084548597,14.7,49.9,2.98,5,14.1,0.5,10.7,1.42
8.7,0.12096,0.94,0.9999650531478995,11.2,27.6,3.86,6,11.4,1.27,122.2,0.42
13.5,0.050760000000000007,0.97,1.002997893557601,4.7,9.5,3.98,6,3.1,1.01,277.5,1.52
8.7,0.16956,0.74,0.9908304439326512,15.7,28.5,3.48,7,8.9,1.59,104.3,0.34
12.5,0.13716,0.79,0.9922994285773035,12.7,61.8,3.77,6,4.3,0.95,232,0.27
14.7,0.12636,0.56,0.9997625198480885,11.7,25,3.53,5,7.3,0.74,127.7,0.28
13.3,0.09612000000000001,0.59,0.9920283681402853,8.9,63.2,3.87,6,9.7,0.83,258.7,0.82
9.4,0.16956,0.41,0.998848509155279,15.7,5.2,3.83,6,2.4,0.72,191.8,0.32
11.7,0.1296,0.08,0.9915137749608592,12,60.6,2.86,5,11.1,0.4,147.9,0.63
10,0.15012,0.91,0.9904148334782309,13.9,46.8,3.03,5,11.7,1.03,173.8,1.54
13.7,0.09936,0.48,0.9914625450572326,9.2,3.4,3.02,6,5.7,1.26,163,1.22
8.7,0.13392,0.66,0.9928058675111392,12.4,33.2,2.92,6,15,1.32,173.4,0.19
9.5,0.162,0.54,0.9989488668568829,15,30.9,3.57,6,8.2,1.37,143.5,0.34
13.7,0.10692000000000002,0.03,0.9958035443750487,9.9,41.4,3.98,5,14.7,0.61,285.9,1.17
13.1,0.13176,0.59,0.9988701561051064,12.2,23,2.96,6,13.5,0.98,175.5,0.64
14.1,0.14688,0.64,1.0015355612285977,13.6,66.1,3.46,5,6.8,0.51,144.4,0.76
9.5,0.13068,0.55,0.9916231267329144,12.1,11.8,3.08,5,11,1.44,93.6,1.14
14.6,0.10692000000000002,0.22,0.9921580654015516,9.9,29.2,3.4,6,9.8,1.66,120.8,0.13
9.7,0.16848000000000002,0.61,0.9906995967192568,15.6,42.8,3.06,5,6.7,0.49,133.4,1.21
11,0.15552000000000002,0.22,1.0025574558861503,14.4,55.3,2.97,7,11.8,1.67,224.3,1.52
12.9,0.14796,0.98,0.9916129405564531,13.7,18.5,3.34,6,3.7,1.33,257.2,1.39
12.6,0.15660000000000002,0.46,0.9990294064450718,14.5,65.5,3.83,6,13,0.95,25,0.92
12.8,0.12312000000000001,0.43,1.0021905358477836,11.4,19.9,3.15,5,10.7,0.71,43.5,1.4
10.4,0.15228,0.94,1.0017987342393164,14.1,71.8,3.26,6,13.8,1.2,106.5,0.2
14.6,0.16740000000000002,0.26,1.0033050733239866,15.5,48.4,3.56,6,10,0.54,126.8,0.26
